"","date.local","location","value","unit","country"
"6142","2016-01-31T21:00:00+01:00","Hilversum-J. Gerardtsweg",3.29598958333333,"µg/m³","NL"
"6143","2016-01-31T21:00:00+01:00","Maastricht-A2 Kasteel Hillenraadweg",7.04347826086957,"µg/m³","BE"
"6144","2016-01-31T20:00:00+00:00","Haringey Roadside",9,"µg/m³","GB"
"6145","2016-01-31T20:00:00+00:00","Harrow - Stanmore",4,"µg/m³","GB"
"6146","2016-02-01T04:00:00+08:00","Chengdu",91,"µg/m³","CN"
"6147","2016-02-01T04:00:00+08:00","Shanghai",42,"µg/m³","CN"
"6148","2016-02-01T04:00:00+08:00","Guangzhou",0,"µg/m³","CN"
"6149","2016-01-31T20:00:00+00:00","London Bloomsbury",4,"µg/m³","GB"
"6150","2016-01-31T20:00:00+00:00","Camden Kerbside",6,"µg/m³","GB"
"6151","2016-01-31T20:00:00+00:00","Bexley - Slade Green",3,"µg/m³","GB"
"6152","2016-01-31T20:00:00+00:00","London Teddington Bushy Park",2,"µg/m³","GB"
"6153","2016-01-31T20:00:00+00:00","London Harlington",8,"µg/m³","GB"
"6154","2016-01-31T14:00:00-06:00","Houston Deer Park C3",24,"µg/m³","US"
"6155","2016-01-31T21:00:00+01:00","Botlek-Spoortunnel",-999,"µg/m³","NL"
"6156","2016-01-31T17:00:00-03:00","Los Ángeles Oriente",9.5,"µg/m³","CL"
"6157","2016-01-31T17:00:00-03:00","Quilicura",13,"µg/m³","CL"
"6158","2016-01-31T17:00:00-03:00","Puren",9.53,"µg/m³","CL"
"6159","2016-01-31T17:00:00-03:00","Museo Ferroviario",3.254,"µg/m³","CL"
"6160","2016-01-31T17:00:00-03:00","Parque O'Higgins",10,"µg/m³","CL"
"6161","2016-01-31T17:00:00-03:00","Punta Arenas",1,"µg/m³","CL"
"6162","2016-01-31T17:00:00-03:00","Huasco Sivica",1,"µg/m³","CL"
"6163","2016-01-31T17:00:00-03:00","La Serena",3.867,"µg/m³","CL"
"6164","2016-01-31T17:00:00-03:00","INIA, Chillán",14.94,"µg/m³","CL"
"6165","2016-01-31T17:00:00-03:00","Sierra Gorda ",14,"µg/m³","CL"
"6166","2016-01-31T17:00:00-03:00","Coyhaique II",2.388,"µg/m³","CL"
"6167","2016-01-31T17:00:00-03:00","Universidad de Talca",8.11,"µg/m³","CL"
"6168","2016-01-31T17:00:00-03:00","Viña del Mar",15.13,"µg/m³","CL"
"6169","2016-01-31T17:00:00-03:00","Valdivia",8.06,"µg/m³","CL"
"6170","2016-01-31T17:00:00-03:00","Rancagua I",1,"µg/m³","CL"
"6171","2016-01-31T17:00:00-03:00","La Florida",14,"µg/m³","CL"
"6172","2016-01-31T17:00:00-03:00","Antofagasta",1,"µg/m³","CL"
"6173","2016-01-31T17:00:00-03:00","U.C. Maule",8.13,"µg/m³","CL"
"6174","2016-01-31T17:00:00-03:00","Talagante",7.3,"µg/m³","CL"
"6175","2016-01-31T17:00:00-03:00","Cerrillos",11,"µg/m³","CL"
"6176","2016-01-31T17:00:00-03:00","Cerro Navia",13,"µg/m³","CL"
"6177","2022-10-06T04:00:00+02:00","RS0033A",15.80783,"µg/m³","RS"
"6178","2022-10-06T04:00:00+02:00","RS0036A",13.55317,"µg/m³","RS"
"6179","2022-10-06T04:00:00+02:00","RS0030A",23.34,"µg/m³","RS"
"6180","2022-10-06T04:00:00+02:00","RS0028A",20.17517,"µg/m³","RS"
"6181","2022-10-05T22:00:00-04:00","NEW HAVEN",20.4,"µg/m³","US"
"6182","2022-10-05T22:00:00-04:00","MIDAIR",21,"µg/m³","US"
"6183","2016-01-31T17:00:00-03:00","Coyhaique",1,"µg/m³","CL"
